TripID,ExpenseType,Distance,DistanceUnit,Origin,Destination,TravelDate,CabinClass
TRP-10000,Hotel,0.0,km,,MUC,20-06-2023,Standard
TRP-10001,Flight,1982.0,km,CDG,JFK,29-11-2023,Economy
TRP-10002,Flight,7255.0,km,JFK,DXB,17-03-2023,Business
TRP-10003,Flight,596.5,km,CDG,JFK,02-06-2023,Standard
TRP-10004,Hotel,0.0,km,,MUC,26-11-2023,Business
TRP-10005,Flight,377.8,km,JFK,CDG,18-11-2023,Economy
TRP-10006,Flight,7217.1,km,LHR,DXB,05-05-2023,Standard
TRP-10007,Flight,3132.0,km,MUC,LHR,24-05-2023,Business
TRP-10008,Hotel,0.0,km,,JFK,24-03-2023,Economy
TRP-10009,Flight,2304.0,km,DXB,JFK,11-07-2023,Economy
TRP-10010,Hotel,0.0,km,,JFK,31-01-2023,Standard
TRP-10011,Hotel,0.0,km,,MUC,02-03-2023,Business
TRP-10012,Flight,5074.0,km,JFK,MUC,01-10-2023,Economy
TRP-10013,Flight,7843.3,km,MUC,JFK,03-04-2023,Economy
TRP-10014,Flight,1404.2,km,MUC,LHR,13-06-2023,Business
TRP-10015,Hotel,0.0,km,,LHR,26-09-2023,Standard
TRP-10016,Flight,7177.3,km,CDG,JFK,02-07-2023,Economy
TRP-10017,Flight,670.1,km,CDG,LHR,14-09-2023,Economy
TRP-10018,Train,4909.4,km,LHR,DXB,27-08-2023,Economy
TRP-10019,Flight,2412.6,km,MUC,DXB,09-04-2023,Economy
TRP-10020,Flight,567.7,km,DXB,LHR,03-02-2023,Standard
TRP-10021,Hotel,0.0,km,,DXB,27-04-2023,Economy
TRP-10022,Train,7855.1,km,DXB,LHR,23-02-2023,Business
TRP-10023,Flight,3053.8,km,JFK,LHR,21-03-2023,Business
TRP-10024,Flight,1907.5,km,DXB,LHR,06-09-2023,Economy
TRP-10025,Flight,1693.3,km,JFK,CDG,10-09-2023,Economy
TRP-10026,Hotel,0.0,km,,LHR,23-04-2023,Economy
TRP-10027,Flight,7690.8,km,LHR,DXB,20-06-2023,Business
TRP-10028,Flight,5362.7,km,MUC,JFK,02-06-2023,Economy
TRP-10029,Flight,7406.9,km,DXB,MUC,23-04-2023,Business
TRP-10030,Flight,999999.0,km,MUC,CDG,20-09-2023,Standard
TRP-10031,Flight,3353.9,km,MUC,CDG,23-07-2023,Economy
TRP-10032,Flight,949.0,km,JFK,DXB,25-03-2023,Business
TRP-10033,Train,3591.1,km,LHR,DXB,17-02-2023,Standard
TRP-10034,Train,2270.5,km,MUC,LHR,27-07-2023,Business
TRP-10035,Hotel,0.0,km,,CDG,19-02-2023,Economy
TRP-10036,Flight,6244.6,km,MUC,LHR,26-04-2023,Business
TRP-10037,Hotel,0.0,km,,MUC,03-09-2023,Economy
TRP-10038,Hotel,0.0,km,,JFK,17-04-2023,Standard
TRP-10039,Flight,5638.9,km,CDG,JFK,13-11-2023,Standard
TRP-10040,Hotel,0.0,km,,JFK,15-07-2023,Standard
TRP-10041,Hotel,0.0,km,,JFK,02-10-2023,Business
TRP-10042,Hotel,0.0,km,,DXB,05-07-2023,Economy
TRP-10043,Flight,7775.9,km,JFK,DXB,12-11-2023,Standard
TRP-10044,Flight,7999.7,km,MUC,JFK,18-11-2023,Economy
TRP-10045,Flight,914.4,km,CDG,LHR,19-02-2023,Standard
TRP-10046,Flight,2610.9,km,LHR,DXB,05-11-2023,Standard
TRP-10047,Flight,7534.7,km,CDG,DXB,17-02-2023,Business
TRP-10048,Flight,3013.3,km,LHR,DXB,12-06-2023,Business
TRP-10049,Flight,3809.2,km,JFK,LHR,10-08-2023,Standard
TRP-10050,Flight,7371.7,km,CDG,LHR,01-09-2023,Standard
TRP-10051,Train,7318.9,km,DXB,JFK,04-04-2023,Standard
TRP-10052,Flight,3740.3,km,CDG,LHR,19-09-2023,Standard
TRP-10053,Flight,282.2,km,JFK,MUC,23-01-2023,Standard
TRP-10054,Flight,688.9,km,DXB,CDG,28-01-2023,Economy
TRP-10055,Hotel,0.0,km,,LHR,28-04-2023,Business
TRP-10056,Flight,2656.9,km,LHR,DXB,20-10-2023,Business
TRP-10057,Flight,4272.9,km,CDG,DXB,06-05-2023,Business
TRP-10058,Flight,1801.3,km,LHR,CDG,12-01-2023,Standard
TRP-10059,Flight,2718.3,km,DXB,CDG,21-04-2023,Economy
TRP-10060,Flight,999999.0,km,LHR,CDG,07-01-2023,Economy
TRP-10061,Flight,535.2,km,LHR,CDG,08-09-2023,Standard
TRP-10062,Flight,3581.0,km,MUC,DXB,14-04-2023,Business
TRP-10063,Flight,5545.2,km,DXB,LHR,04-07-2023,Standard
TRP-10064,Flight,4892.1,km,LHR,JFK,03-11-2023,Business
TRP-10065,Hotel,0.0,km,,DXB,12-08-2023,Business
TRP-10066,Hotel,0.0,km,,LHR,06-06-2023,Standard
TRP-10067,Flight,7210.4,km,MUC,JFK,18-04-2023,Business
TRP-10068,Flight,5512.8,km,MUC,JFK,09-04-2023,Standard
TRP-10069,Flight,3147.2,km,DXB,JFK,27-02-2023,Economy
TRP-10070,Hotel,0.0,km,,DXB,13-05-2023,Standard
TRP-10071,Flight,2220.6,km,MUC,LHR,09-10-2023,Economy
TRP-10072,Flight,3600.8,km,LHR,MUC,06-09-2023,Economy
TRP-10073,Flight,6739.9,km,MUC,CDG,12-03-2023,Standard
TRP-10074,Flight,6330.6,km,CDG,LHR,23-10-2023,Standard
TRP-10075,Flight,6391.1,km,CDG,JFK,20-04-2023,Business
TRP-10076,Flight,4528.1,km,MUC,CDG,14-07-2023,Business
TRP-10077,Train,1065.6,km,MUC,DXB,23-03-2023,Business
TRP-10078,Flight,5991.3,km,LHR,MUC,08-08-2023,Business
TRP-10079,Flight,2923.5,km,MUC,CDG,23-12-2023,Standard
TRP-10080,Flight,2269.1,km,JFK,DXB,10-09-2023,Economy
TRP-10081,Flight,4240.5,km,MUC,LHR,25-05-2023,Standard
TRP-10082,Flight,3081.7,km,DXB,CDG,08-06-2023,Business
TRP-10083,Flight,4019.2,km,CDG,JFK,25-12-2023,Standard
TRP-10084,Flight,1883.5,km,CDG,DXB,08-12-2023,Economy
TRP-10085,Flight,6070.3,km,DXB,JFK,10-09-2023,Economy
TRP-10086,Flight,3810.6,km,MUC,LHR,08-08-2023,Business
TRP-10087,Hotel,0.0,km,,DXB,31-01-2023,Business
TRP-10088,Flight,4763.1,km,MUC,DXB,20-03-2023,Business
TRP-10089,Flight,1073.9,km,JFK,LHR,26-12-2023,Business
TRP-10090,Hotel,0.0,km,,MUC,01-05-2023,Economy
TRP-10091,Flight,2239.1,km,MUC,CDG,26-01-2023,Standard
TRP-10092,Flight,4922.9,km,CDG,LHR,29-04-2023,Standard
TRP-10093,Flight,3568.7,km,DXB,JFK,02-02-2023,Business
TRP-10094,Flight,7886.5,km,DXB,LHR,21-07-2023,Business
TRP-10095,Flight,4914.1,km,CDG,DXB,18-10-2023,Economy
TRP-10096,Flight,5119.3,km,JFK,CDG,15-02-2023,Economy
TRP-10097,Flight,1828.4,km,MUC,CDG,25-07-2023,Business
TRP-10098,Train,348.2,km,CDG,JFK,28-04-2023,Business
TRP-10099,Train,3567.4,km,CDG,MUC,05-08-2023,Economy
TRP-10100,Hotel,0.0,km,,DXB,05-12-2023,Business
