MeterID,Facility,PeriodStart,PeriodEnd,Usage_kWh,TotalCharge
MTR-1001,HQ_London,2023/01/01,2023/01/31,10597.07,1589.56
MTR-1001,HQ_London,2023/01/31,2023/03/01,34560.39,5184.06
MTR-1001,HQ_London,2023/03/01,2023/04/01,37724.82,5658.72
MTR-1001,HQ_London,2023/04/01,2023/04/29,17611.87,2641.78
MTR-1001,HQ_London,2023/04/29,2023/05/30,25688.98,3853.35
MTR-1001,HQ_London,2023/05/30,2023/06/28,24950.72,3742.61
MTR-1001,HQ_London,2023/06/28,2023/07/28,16632.61,2494.89
MTR-1001,HQ_London,2023/07/28,2023/08/26,28315.0,4247.25
MTR-1001,HQ_London,2023/08/26,2023/09/26,43109.52,6466.43
MTR-1001,HQ_London,2023/09/26,2023/10/27,46075.79,6911.37
MTR-1001,HQ_London,2023/10/27,2023/11/27,14806.45,2220.97
MTR-1001,HQ_London,2023/11/27,2023/12/26,18689.45,2803.42
MTR-1002,HQ_London,2023/01/01,2023/02/01,23287.42,3493.11
MTR-1002,HQ_London,2023/02/01,2023/03/02,20274.73,3041.21
MTR-1002,HQ_London,2023/03/02,2023/03/31,35475.18,5321.28
MTR-1002,HQ_London,2023/03/31,2023/04/30,12868.63,1930.29
MTR-1002,HQ_London,2023/04/30,2023/05/29,41138.25,6170.74
MTR-1002,HQ_London,2023/05/29,2023/06/29,48081.12,7212.17
MTR-1002,HQ_London,2023/06/29,2023/07/30,30008.04,4501.21
MTR-1002,HQ_London,2023/07/30,2023/08/30,16078.68,2411.8
MTR-1002,HQ_London,2023/08/30,2023/09/27,46169.72,6925.46
MTR-1002,HQ_London,2023/09/27,2023/10/26,18799.41,2819.91
MTR-1002,HQ_London,2023/10/26,2023/11/25,45675.41,6851.31
MTR-1002,HQ_London,2023/11/25,2023/12/26,38546.97,5782.05
MTR-2001,Factory_Munich,2023/01/01,2023/02/01,13014.5,1952.17
MTR-2001,Factory_Munich,2023/02/01,2023/03/03,24782.63,3717.39
MTR-2001,Factory_Munich,2023/03/03,2023/03/31,47486.4,7122.96
MTR-2001,Factory_Munich,2023/03/31,2023/04/28,27108.32,4066.25
MTR-2001,Factory_Munich,2023/04/28,2023/05/29,26865.32,4029.8
MTR-2001,Factory_Munich,2023/05/29,2023/06/29,45097.51,6764.63
MTR-2001,Factory_Munich,2023/06/29,2023/07/27,49346.3,7401.94
MTR-2001,Factory_Munich,2023/07/27,2023/08/27,32289.29,4843.39
MTR-2001,Factory_Munich,2023/08/27,2023/09/26,23709.48,3556.42
MTR-2001,Factory_Munich,2023/09/26,2023/10/25,40866.77,6130.02
MTR-2001,Factory_Munich,2023/10/25,2023/11/22,15255.38,2288.31
MTR-2001,Factory_Munich,2023/11/22,2023/12/23,17560.39,2634.06
